,Cell Volumes,Proto Halo Volumes
64,1.795643171583475e-05,2.1163163140336215e-05
65,1.7936668500052873e-05,2.0363900758793558e-05
66,1.7921335274742573e-05,1.934928698281278e-05
67,1.783157224050469e-05,2.452963176642169e-05
68,1.773908632065704e-05,2.0570499976515502e-05
69,1.7684024925711487e-05,2.2815301092686168e-05
70,1.7651546304416788e-05,2.01957920289965e-05
71,1.7600105925701818e-05,1.915999783329798e-05
72,1.75536134596635e-05,2.4300703825320502e-05
73,1.7473092340126644e-05,2.1617928180426256e-05
74,1.7466319923433887e-05,1.7714425036664434e-05
75,1.7394287049227713e-05,1.873439284034458e-05
76,1.726293051200386e-05,1.851232789109824e-05
77,1.7238769237078864e-05,2.1390555659165625e-05
78,1.7224375186657807e-05,1.994509423419091e-05
79,1.7203915170292068e-05,1.8546823365910352e-05
80,1.718880753940402e-05,1.8538014384689275e-05
81,1.7192918888742705e-05,2.0497815166019294e-05
82,1.714942201369415e-05,2.304155646745149e-05
83,1.713765847298961e-05,1.9462817518232178e-05
84,1.7141241173455905e-05,2.260214023353805e-05
85,1.70851822263846e-05,1.945159165252673e-05
86,1.708563878876533e-05,2.0481990179275706e-05
87,1.7078083896693522e-05,2.1224147699814112e-05
88,1.703838051298696e-05,1.937397498880299e-05
89,1.7019014644571696e-05,2.0622213833625963e-05
90,1.6992951084809805e-05,1.9274389406490132e-05
91,1.687339609563893e-05,1.744756376478396e-05
92,1.6855609292119227e-05,1.9256295574362993e-05
93,1.6837949917953143e-05,1.829040666558362e-05
94,1.6828051356592422e-05,1.8386319497617195e-05
95,1.6785161222047146e-05,1.920015230518816e-05
96,1.6740117113036966e-05,2.051389043878868e-05
97,1.6722577994787144e-05,1.956843973732425e-05
98,1.671401410148567e-05,1.905442354442935e-05
99,1.6679652456568906e-05,1.8368322506017525e-05
100,1.663701155541774e-05,1.9631238826590004e-05
101,1.663209255872464e-05,1.7531857250752662e-05
102,1.657969430111211e-05,1.918672230213287e-05
103,1.657200891675302e-05,1.994341406966153e-05
104,1.6439198106805638e-05,2.4569474652619578e-05
105,1.6423900761454942e-05,1.9209960603201003e-05
106,1.6376841836694183e-05,1.869357670333359e-05
107,1.6351998552052866e-05,1.8128556617102737e-05
108,1.6309160884708153e-05,1.8145926789430312e-05
109,1.630657553752729e-05,1.8209836800534614e-05
110,1.6295848211982537e-05,1.9427831590873706e-05
111,1.6205131466096793e-05,1.640883469982829e-05
112,1.618839723416423e-05,1.6609229884610672e-05
113,1.6148267780208867e-05,2.4168315557170102e-05
114,1.6146390253056122e-05,1.9741047686480564e-05
115,1.6120343003160168e-05,2.007349372171671e-05
116,1.612065888413718e-05,1.7360357134171547e-05
117,1.6109513435315678e-05,1.6493117730562918e-05
118,1.6052487364154555e-05,1.9353243303968724e-05
119,1.6055225554487415e-05,1.9018654612663866e-05
120,1.6035331375271544e-05,1.7586127057159753e-05
121,1.601357707638874e-05,1.818886068687685e-05
122,1.5951353241483156e-05,1.742492992291724e-05
123,1.594566256185817e-05,1.6524759608814495e-05
124,1.593757758859754e-05,1.8076168218711937e-05
125,1.5900525043914226e-05,1.7959346649681713e-05
126,1.5899196002973385e-05,1.8191735913481096e-05
127,1.588441828229343e-05,1.6687506834177164e-05
128,1.586121383090579e-05,1.7012075735021135e-05
129,1.5796503474476305e-05,2.0500554514030793e-05
